Serial Number,Device Name,Software Version,Verdict,UpgradeTO,LastUpgradeTime,Tags,Notes
JMX2045Y11S,DCO-5506X-ASA01,9.12(4)18,non-compliant,9.16(2)14,26days 4hours,10.64.2.1,8000 E MAPLE WOOD AVE BUILDING #5 SUITE #200 Denver CO
JMX2211G03M,LNV-5506X-ASA01,9.16(2)14,compliant,N/A,1day 2hours,192.168.10.1,9127 W. Russell Road Suite 110 Las Vegas NV 89148
JMX2207G1BM,AUSTX-5506X-ASA01,9.12(4)18,non-compliant,9.16(2)14,188days 21hours,192.168.0.1,3705 Medical Parkway Austin TX 78705
JMX2215G0FC,CMD-5506X-ASA01,9.16(2)14,compliant,N/A,6hours 52mins,172.28.14.1,10400 Little Patuxent Parkway Suite 240 Columbia Maryland 21044
JMX200640V4,DTX-MRT-5506X-ASA01,9.16(2)14,compliant,N/A,3hours 46mins,10.4.238.1,12222 Merit Dr Suite 700 Dallas TX 75251
JMX2237G0HS,TTX-5506X-ASA01,9.12(4)18,non-compliant,9.16(2)14,1year 25days,192.168.130.200,3200 Troup Hwy Ste #200 Tyler Texas 75701
JMX2014403T,CHC-INTRANET-5506X-ASA,9.16(2)14,compliant,N/A,19days 2hours,10.2.254.65,2440 Marsh Ln Carrollton TX 75006
JMX2047Y278,CHC-INTRANET-5506X-ASA,9.16(2)14,compliant,N/A,19days 2hours,10.2.254.65,2440 Marsh Ln Carrollton TX 75006
JMX2306G0XW,ARLTX-5508X-ASA01,9.12(4)18,non-compliant,9.16(2)14,62days 16hours,172.28.26.1,PAA - 4305 S Bowen Rd  Arlington  TX  76016
JMX2306G0U6,FTMFL-5508X-ASA01,9.12(4)18,non-compliant,9.16(2)14,131days 10hours,172.28.4.1,13350 Metro Parkway Suite 301 Fort Myers FL 33966
JMX2305G02Y,MAITLNDFL-5508X-ASA01,9.12(4)18,non-compliant,9.16(2)14,77days 4hours,192.168.3.150,851 Trafalgar Court Maitland FL
FTX181510DK,CDC-5545X-ASA01,9.12(4)18,non-compliant,9.16(2)14,229days 2hours,10.2.254.17,2440 Marsh Ln Carrollton TX 75006
FTX181510DR,CDC-5545X-ASA01,9.12(4)18,non-compliant,9.16(2)14,229days 2hours,10.2.254.18,2440 Marsh Ln Carrollton TX 75006
JMX2413X15D,SWA-FPR1120-FTD01,9.16(2)14,compliant,N/A,12days 2hours,10.8.0.1,600 BROADWAY SEATTLE WA 98122-5229 United States
